v	mu	x	xc	px	px_acc
#1	1	1	1	1	1
0.681907	3.92559	68	30	3.18113E-05	3.18113E-05
2.58701	2.04666	120	616	0.000180253	0.000180253
1.43352	-2.01777	39	5	0.000371818	0.000371818
2.54055	-0.942807	18	194	0.0099699	0.0099699
0.856227	3.85436	4	99	2.26757E-12	2.26757E-12
0.272784	3.90062	170	6	0.0772591	0.0772589
1.35045	-3.71885	514	12	7.34666E-11	7.34666E-11
0.625944	1.69682	39	63	0.000574425	0.000574425
0.543453	1.00255	250	2018	3.92429E-07	3.92429E-07
1.1447	2.38589	136	11	0.0347115	0.0347115
0.00022445	2.48792	1929	265	1.40261E-13	1.40261E-13
2.73318	0.634149	27	55	0.00949106	0.00949106
0.13494	-1.70361	71	3	3.39222E-19	3.39222E-19
0.0364443	-4.34223	50	389	2.55474E-19	2.55474E-19
1.26255	-1.04131	68	220	0.00673321	0.00673321
0.0167798	-1.21361	499	26	7.27763E-103	7.27763E-103
0.21472	3.67892	742	271	3.86276E-10	3.86276E-10
0.351551	2.75074	5	2	0.0736512	0.0736512
0.694483	-0.229876	237	22	0.000221067	0.000221067
2.85977	-2.85503	340	297	0.000312337	0.000312337
0.54663	-4.03497	26	140	0.000240101	0.000240101
0.690823	-2.25554	99	2696	0.00226053	0.00226052
0.740713	2.43121	168	14	0.0339359	0.0339359
2.94602	-2.1836	826	621	0.000233111	0.000233111
3.5026	3.23181	416	13	0.0165444	0.0165444
3.82083	0.465883	45	127	0.00454951	0.00454951
2.17064	-2.51615	87	397	0.00301726	0.00301726
2.03409	2.28798	2	2	0.0982973	0.0982973
0.0267744	0.609284	38	9	0.0124855	0.0124855
1.89871	2.02351	1057	246	0.00133274	0.00133274
0.288091	-4.51778	536	83	3.83287E-32	3.83287E-32
0.0864119	2.96413	476	1620	5.8681E-46	5.8681E-46
1.08544	2.06206	919	3653	2.23439E-06	2.23439E-06
0.218712	-3.32871	26	289	0.00688104	0.00688104
1.20857	2.19616	376	533	0.000113704	0.000113704
1.4664	-2.32948	385	924	0.000590324	0.000590324
0.661921	3.49678	78	745	1.50859E-13	1.50859E-13
0.119357	0.363955	460	96	5.49314E-05	5.49314E-05
2.50065	0.677489	30	2298	5.6905E-05	5.7206E-05
1.04736	0.786604	471	153	0.00318251	0.00318251
0.268306	-4.55724	118	11	5.42714E-33	5.42714E-33
0.695988	-3.19929	212	82	4.45014E-08	4.45014E-08
0.807601	-1.79521	594	31	2.02321E-08	2.02321E-08
1.11901	1.21671	534	14	0.00212008	0.00212008
3.60561	2.19096	13	40	0.0046897	0.0046897
1.14066	-3.3775	161	349	0.000177709	0.000177709
0.376425	0.587264	154	296	0.000859881	0.000859881
1.1477	-1.09335	318	81	0.000420073	0.000420073
0.280564	0.0281994	138	398	0.000934606	0.000934606
0.0134959	2.52276	469	44	0.03751	0.03751
1.55056	-4.19443	11	84	0.00819456	0.00819456
2.76684	2.24025	261	2821	2.12366E-05	2.12366E-05
9.62065E-05	-0.767979	184	614	1.59374E-08	1.59374E-08
2.04468	1.61738	109	28	0.0122096	0.0122096
2.61007	3.28437	156	455	5.65825E-05	5.65825E-05
3.48196	-1.07544	28	432	0.00542204	0.00542204
0.203237	3.60272	108	15	0.00066973	0.00066973
1.42733	-3.61714	61	30	2.8163E-05	2.8163E-05
0.846256	-2.3837	32	138	0.0102201	0.0102201
0.0133729	-3.65489	29	439	3.84915E-05	3.84952E-05
0.744131	-4.34423	604	18	2.62248E-19	2.62248E-19
3.10958	-1.44043	512	13	0.000274681	0.000274681
0.384645	4.43323	8	25	9.81438E-15	9.81438E-15
